solute_name,solute_FP_315,solute_FP_378,solute_FP_1876,solute_FP_222,solute_FP_1762,solute_FP_935,solute_FP_1536,solute_FP_656,solute_FP_114,solute_FP_227,solute_FP_1991,solute_FP_1009,solute_FP_145,solute_FP_883,solute_FP_4,solute_FP_191,solute_FP_310,solute_FP_888,solute_FP_1199,solute_FP_1683
butylparaben,0.04396212356846081,0.024963803462320355,-0.007839499092486222,0.011709072031058896,0.026405388302926436,0.015844654112792338,0.012043758652580436,0.019349889845805594,-0.002723359510564478,0.008851153963907564,0.00654891840016353,0.01113658206287073,0.11839103105550748,0.007525829184334726,0.007879800347061972,-0.005287046115510748,-0.0003769797219429165,0.004982126628456172,-0.0060106903301712,0.009751310178486164
iodopropynyl butylcarbamate,0.038024141739430584,0.02156969883582216,0.21794247506842415,0.018424268213111644,0.020140993455758385,0.015705684613118744,0.009304957520416792,0.016527702246288148,-0.0035192265769001096,0.018725566160592278,0.006076462768299582,0.010536750369113482,0.13945069280545794,0.008493458251226304,0.006908755759662502,-0.006768530018368134,-0.0017476295923036865,0.007610213185325847,-0.007231969571324347,0.01713492929935455
frambinone,0.034537890575129494,0.021602368914873295,-0.01197361832299066,0.014862021217099937,0.01805511560431114,0.018560088765043475,0.011981119199817841,0.0141099132655836,-0.004510346584402214,0.013972716400094214,0.005509081006593988,0.008368802284840058,-0.007848248751888606,0.009465891246654791,0.008705152018676473,-0.00482310448880753,0.07720906671459943,0.007099691527557753,-0.0068143448235287,0.014793079152609608
propylparaben,0.0425037373397087,0.024985748723781096,-0.012364932525670155,0.014290886467012267,0.026105024921513783,0.021969319429651173,0.013200182175423833,0.01821259615261321,-0.004512847469310751,0.011023519393856986,0.006286303518306037,0.011631028807993668,0.11898550084236377,0.009845710664230865,0.010454115529164483,-0.004951011336973655,-0.0031704730693551636,0.00617760543173669,-0.005838683071057556,0.01246583819432999
2-aminopyridine,0.05488450544708758,-0.1354734142915113,-0.012744171066966372,0.017252232107974125,0.018376308978607994,0.016794660126237433,0.008777519940194907,0.015484598348572035,-0.004333733148436296,0.006130112062819535,0.005803979423522833,0.010248380406061188,-0.006240843883548223,0.005215365268639289,0.008898177325958387,-0.003821939777433727,-0.005484996906583547,0.006555338337588182,0.018625872560121933,0.0071167872481455565
diphenylamine,0.02089376403499045,0.03187091564058695,-0.01181972347481254,0.020873997747985415,0.023666763271418558,0.021126310678034013,0.01784033399208662,0.014226369579531212,-0.007771227583616564,0.005651776119145021,0.02004315342157497,0.011061133222732071,-0.006961605045398754,0.009142477998296575,0.008349739311776527,0.109983743237705,-0.008418756533962247,0.0037026663023243603,0.02152424103232382,0.002965169932867866
ibuprofen,0.031214559674668484,0.019238137572744934,-0.012365153034084128,0.017720649337300495,0.02122846184381935,0.01443353322974333,0.012233836324853151,0.01727432964323035,-0.004590569325954574,0.0156856255321017,0.007312774455035483,0.00923437254106156,-0.006696334255975671,0.01004495981906075,0.008421186509150613,-0.005819527551918697,0.06581691918190632,0.006692264798799375,-0.00724940493542009,0.011726890914817179
triclosan,0.021867672687039885,0.01644276488441392,-0.007676310190836375,0.011334079649968772,0.018526638018665838,0.01126705648493953,0.012485652360628593,0.014765051381546072,-0.002586761596139695,0.012972442387108457,0.007006660385959549,0.006504351102121291,-0.0052026795534402485,0.01001095518222428,0.006698146208796061,-0.008129722959656646,-0.009442095882586727,0.006777503127723321,-0.007918031452281865,-0.061372047920485784
4-hydroxy-3-methoxybenzaldehyde,0.02682201714948557,0.014808088417994442,-0.016424859238807887,0.016697721495438602,0.015102113814937182,0.019584622176237947,-0.07178653278168591,0.014221505456177208,-0.007058259744201981,0.014074837109559061,0.011045741529330069,0.006876153583677175,-0.009595644367558028,0.007217492309088508,0.004369697608926799,-0.006773000267227568,-0.0037197035618009976,0.0076997957926748005,-0.006679264032815505,0.016034157334373352
ketoprofen,0.031575294023694786,0.01951329088210444,-0.010731869241818248,0.01871728153400769,0.019855776513443113,0.019450673461147885,0.014134306691809727,0.02376681511138976,-0.00446783083428692,0.018435403424765143,0.0064174791542665425,0.008331773064710434,-0.008484382062222441,0.009513805874918874,0.008154945441335888,-0.0078952099716466,-0.005589077340286726,0.00697218126853141,0.02615377902676965,0.016240057145819612
